"file_name","size_bytes","category","catalogue_status","authority","notes"
"20220713_Abu Dhabi Waste Bin Planning and Regulation Manual_Part 1.pdf","10109261","formal_standard","existing_corpus_copy","DMT / QCC","Already represented in earlier permanent corpus/release."
"Abu Dhabi Mosque Development Regulations - Appendix 3  Vernacular Study-En.pdf","57240024","formal_standard","canonical_new","DMT / Mosque Development Committee",""
"Abu Dhabi Mosque Development Regulations - Appendix 2  Architectural Prototypes-En.pdf","67308805","formal_standard","canonical_new","DMT / Mosque Development Committee",""
"Abu Dhabi Mosque Development Regulations Appendix 1 -Estidama.pdf","17980096","formal_standard","canonical_new","DMT / Mosque Development Committee",""
"Abu Dhabi Mosque Development Regulations - Volume 2  Design-En.pdf","29855364","formal_standard","canonical_new","DMT / Mosque Development Committee",""
"Abu Dhabi Mosque Development Regulations - Volume 1  Planning-En (1).pdf","3000578","formal_standard","duplicate_candidate","DMT / Mosque Development Committee","Filename and byte size match another Batch 1 item; hash confirmation required before deletion."
"PVRS Waste Calculator 1 Pearl v10 (1).xls","253952","official_template","duplicate_candidate","","Filename and byte size match another Batch 1 item; hash confirmation required before deletion."
"_PVRS Submittal Template 1 Pearl v13.zip","82678","official_template","supporting_template","",""
"1 Pearl PBRS Submittal Template v14.rar","93844","official_template","supporting_template","",""
"Abu Dhabi Mosque Development Regulations - Volume 1  Planning-En.pdf","3000578","formal_standard","canonical_new","DMT / Mosque Development Committee",""
"PVRS Energy Prescriptive Pathway 1 Pearl v10.xls","142336","official_template","supporting_template","",""
"PVRS Waste Calculator 1 Pearl v10.xls","253952","official_template","supporting_template","",""
"PVRS Water Calculator 1 Pearl v11.xls","132608","official_template","supporting_template","",""
"Abu Dhabi Capital Development Code (1).pdf","18732689","formal_standard","duplicate_candidate","DMT / QCC","Filename and byte size match another Batch 1 item; hash confirmation required before deletion."
"Abu Dhabi Mosque Development Regulations Volume 3 EN.pdf","3568664","formal_standard","canonical_new","DMT / Mosque Development Committee",""
"Abu Dhabi Capital Development Code.pdf","18732689","formal_standard","canonical_new","DMT / QCC",""
"3 ADAccessStd_bookmarked (1).pdf","9583123","formal_standard","duplicate_candidate","","Filename and byte size match another Batch 1 item; hash confirmation required before deletion."
"3 ADAccessStd_bookmarked.pdf","9583123","formal_standard","canonical_new","",""
"Abu-Dhabi-Urban-Street-Design-Manual.pdf","34449689","formal_standard","existing_corpus_copy","DMT / QCC","Already represented in earlier permanent corpus/release."
"ROW-602.pdf","83506823","formal_standard","existing_corpus_copy","DMT / QCC","Already represented in earlier permanent corpus/release."
"WA-725-1.pdf","11181466","formal_standard","canonical_new","DMT / QCC",""
"WA-726-1.pdf","7671599","formal_standard","existing_corpus_copy","DMT / QCC","Already represented in earlier permanent corpus/release."
"Guidelines for Protection of Existing Electricity Assets Rev.1 01-12-2024.pdf","5994473","formal_standard","duplicate_candidate","","Byte-identical duplicate previously confirmed; internal document identifies Rev. 02-2018."
"Guidelines for Protection of Existing Electricity Assets Rev 02-06-05-2018.pdf","5994473","formal_standard","canonical_new","",""
"TR-516.pdf","5278883","formal_standard","existing_corpus_copy","DMT / QCC","Already represented in earlier permanent corpus/release."
"TR-513.pdf","14292465","formal_standard","existing_corpus_copy","DMT / QCC","Already represented in earlier permanent corpus/release."
"TR-509-1.pdf","4760502","formal_standard","existing_corpus_copy","DMT / QCC","Already represented in earlier permanent corpus/release."
"TR-542-2.pdf","11887282","formal_standard","existing_corpus_copy","DMT / QCC","Already represented in earlier permanent corpus/release."
"TR-542-1.pdf","9965655","formal_standard","canonical_new","DMT / QCC",""
"ADG-039-2024-En (1).pdf","8093112","formal_standard","duplicate_candidate","DMT / QCC","Filename and byte size match another Batch 1 item; hash confirmation required before deletion."
"ADG-039-2024-En (2).pdf","8093112","formal_standard","duplicate_candidate","DMT / QCC","Filename and byte size match another Batch 1 item; hash confirmation required before deletion."
"ADG-039-2024-En.pdf","8093112","formal_standard","canonical_new","DMT / QCC",""
"DMT_Community Facility Planning Standards_EN_Interactive_2_Map Update.pdf","4198744","formal_standard","existing_corpus_copy","DMT / QCC","Already represented in earlier permanent corpus/release."
"AbuDhabi Architectural Facade Design Manual-EN-Version-1.pdf","30579855","formal_standard","canonical_new","DMT / QCC",""
"DMT Parks and Playground Particular Specification.pdf","2154215","formal_standard","canonical_new","DMT / QCC",""

